artist,title,id,year,expo,place_today,lat_today,lon_today,place_hist,lat_hist,lon_hist
Willy Müller-Brittnau & Albert Siegenthaler,Drei Rahmen,drei-rahmen_1970,1970,"ESS-SPA 5, 1970","Site de l'hôpital cantonal d'Aarau / Areal des Kantonsspital Aarau, 5001 Aarau",47.389692,8.056999,"Prés-de-la-Rive / Strandboden, 2503 Bienne / Biel",47.133178,7.236545
Albert Siegenthaler & Gillian White,Südtor / Paradise Lost,suedtor-paradise-lost_1979,1979–80,"ESS-SPA 7, 1980","Jardin de la mairie d'Aarau / Rathausgarten Aarau, 5000 Aarau",47.388626,8.045955,"Prés-de-la-Rive, prairie derrière le Gymnase Bienne-Seeland / Strandboden, Wiese hinter Gymnasium Biel-Seeland, rue du Débarcadère / Ländtestrasse 10, 2503 Bienne / Biel",47.133638,7.234357
Kurt Sigrist,Projekt Zeitraum,projekt-zeitraum_1979,1979–80,"ESS-SPA 7, 1980","Restorout / Autobahnraststätte Gotthard-Nord A2, Dimmerschachenstrasse, 6467 Schattdorf",46.846924,8.633589,"Prés-de-la-Rive / Strandboden, 2503 Bienne / Biel",47.133694,7.232556
Jürg Altherr,EQUI-LIBRE – Stahlkonstruktion XIIX,equi-libre-–-stahlkonstruktion-xiix_1979,1979–80,"ESS-SPA 7, 1980","Prairie derrière le Gymnase Bienne-Seeland / Wiese hinter dem Gymnasium Biel-Seeland, rue du Débarcadère / Ländtestrasse 10, 2503 Bienne / Biel",47.13376,7.23467,"Prés-de-la-Rive, devant le Gymnase / Strandboden, vor dem Gymnasium, 2503 Bienne / Biel",47.13376,7.23467
Silvio Mattioli,Komposition,komposition_1968,1968–69,"ESS-SPA 5, 1970","Parc de l'assurance AXA / Park der AXA Versicherung, Römerstrasse 17, 8400 Winterthur",47.500703,8.735472,"Prés-de-la-Rive / Strandboden, 2503 Bienne / Biel",47.133809,7.232817
Ödön Koch,Le Silence,le-silence_1970,1970,"ESS-SPA 5, 1970","Devant l'école Langmatt / Vor dem Schulhaus Langmatt, Nagelfluhweg, 8053 Zürich",47.35601336409653,8.587019746626604,"Prés-de-la-Rive / Strandboden, 2503 Bienne / Biel",47.13397,7.233702
Ödön Koch,Sculpture,sculpture_1960,1960–61,"ESS-SPA 3, 1962","Prés-de-la-Rive / Strandboden, rue du Débarcadère / Ländtestrasse 4, 2503 Bienne / Biel",47.134088,7.233186,"Prés-de-la-Rive / Strandboden, rue du Débarcadère / Ländtestrasse 4, 2503 Bienne / Biel",47.134088,7.233186
Bernhard Luginbühl,Atlas,atlas_1970,1970,"ESS-SPA 5, 1970","Parc des sculptures Fondation Bernhard Luginbühl / Skulpturenpark Bernhard Luginbühl Stiftung, 3324 Mötschwil",47.049269,7.566906,"Prés-de-la-Rive / Strandboden, rue du Débarcadère / Ländtestrasse, 2503 Bienne / Biel",47.13419,7.2324
Walter Vögeli & Urs Suter,Trojanisches Pferd,trojanisches-pferd_1977,1977–80,"ESS-SPA 7, 1980","École Lutertal / Schulhaus Lutertal, Lutertalstrasse 52, 3065 Bolligen",46.977756,7.494772,"Promenade de la Suze / Schüsspromenade, 2502 Bienne / Biel",47.134222,7.239083
Raffael Benazzi,"Das Loch, Versuch einer unterirdischen plastischen Bewegung",das-loch-versuch-einer-unterirdischen-plastischen-bewegung_1966,1966,"ESS-SPA 4, 1966","Parc du Palais des Congrès sous un couvercle en béton / Park des Kongresshauses unter einem Betondeckel, 2502 Bienne / Biel",47.134245,7.247228,"Parc du Palais des Congrès / Park des Kongresshauses, 2502 Bienne / Biel",47.134245,7.247228
Walter Linck,Mobile II,mobile-ii_1970,1970,"ESS-SPA 5, 1970","Cour de récréation de l'école secondaire / Pausenplatz der Sekundarschule, Schulhausstrasse 32, 3052 Zollikofen",46.99868,7.452577,"Parc du Palais des Congrès / Park des Kongresshauses, 2502 Bienne / Biel",47.13433,7.247118
Hans Aeschbacher,Figur II,figur-ii_1966,1966,"ESS-SPA 4, 1966","Parc du Palais des Congrès / Park des Kongresshauses, 2502 Bienne / Biel",47.134417,7.247141,"Parc du Palais des Congrès / Park des Kongresshauses, 2502 Bienne / Biel",47.134456,7.247239
André Ramseyer,Grand Astre,grand-astre_1965,1965,"ESS-SPA 4, 1966","Länggassstrasse 120, 3012 Berne / Bern",46.95672,7.427107,"Á côté du Palais de Congrès / Neben dem Kongresshaus, rue Centrale / Zentralstrasse 60, 2501 Bienne / Biel",47.134544,7.247809
Olivier Mosset,Untitled (A Paul Cézanne),untitled-a-paul-cezanne_2000,2000,"ESS-SPA 10, 2000","Faubourg du Lac (vis-à-vis Kunsthaus / Centre d'Art CentrePasquArt) / Seevorstadt, 2502 Bienne / Biel",47.138506875359,7.240622727,"Parc de jeux gazonné du Palais des Congrès / Spielwiese des Kongresshauses, 2502 Bienne / Biel",47.134556,7.247333
André Ramseyer,Orion,orion_1965,1965,"ESS-SPA 4, 1966","Parc du Musée d'Art de Soleure / Park des Kunstmuseums Solothurn, 4500 Soleure / Solothurn",47.210136,7.537941,"A côté du Palais de Congrès / Neben dem Kongresshaus, rue Centrale / Zentralstrasse 60, 2501 Bienne / Biel",47.13458,7.24777
Willy Weber,Wasserrohr,wasserrohr_1970,1970,"ESS-SPA 5, 1970","École du Sahligut / Schulhaus Sahligut, chemin Mettlen / Mettlenweg 9, 2504 Bienne / Biel",47.14674,7.27622,"Devant le Palais des Congrès / Vor dem Kongresshaus, rue Centrale / Zentralstrasse 60, 2501 Bienne / Biel",47.134639,7.247972
Max Weiss,Kyra – Grosse Liegende,kyra-–-grosse-liegende_1961,1961,"ESS-SPA 3, 1962","Devant le Palais de Congrès / Vor dem Kongresshaus, rue Centrale / Zentralstrasse 60, 2501 Bienne / Biel",47.134967849720205,7.248450984301633,"Prés-de-la-Rive / Strandboden, 2503 Bienne / Biel",47.134743,7.23122
Joseph Wyss,Otok 2,otok-2_1970,1970,"ESS-SPA 5, 1970","Hôpital Zollikerberg / Spital Zollikerberg, Diakonissenweg, 8125 Zollikerberg",47.347941,8.598494,"Prés-de-la-Rive / Strandboden, 2503 Bienne / Biel",47.134766,7.233294
Mary Vieira,Intervolume: cuborama,intervolume-cuborama_1985,1985,"ESS-SPA 8, 1986","Böblingerstrasse 24, Sindelfingen, Allemagne / Deutschland",48.706033,9.004485,"Place du Général-Guisan / General-Guisan-Platz, rue de la Gare / Bahnhofstrasse 16b, 2502 Bienne / Biel",47.134773,7.244583
Mariann Grunder,Skulptur I,skulptur-i_1965,1965–66,"ESS-SPA 4, 1966","École du Battenberg / Schulhaus Battenberg, chemin de la Pierre-aux-Sarrasins / Heidensteinweg 21, 2504 Bienne / Biel",47.141502,7.278524,"Parc du Palais des Congrès / Park des Kongresshauses, 2502 Bienne / Biel",47.134798,7.2471
Ödön Koch,Zweiteilige Skulptur,zweiteilige-skulptur_1965,1965–66,"ESS-SPA 4, 1966","Promenadenweg, 2532 Evilard-Macolin / Leubringen-Magglingen",47.139917,7.21125,"Parc du Palais des Congrès / Park des Kongresshauses, 2501 Bienne / Biel",47.13492,7.247164
Raffael Benazzi,Figur 1446,figur-1446_1968,1968,"ESS-SPA 5, 1970","École du Sahligut / Schulhaus Sahligut, chemin du Chasseur / Jägerweg 1, 2504 Bienne / Biel",47.14616767506378,7.276026374854562,"Parvis du Palais des Congrès / Vorplatz des Kongresshauses, 2501 Bienne / Biel",47.13493870112198,7.2479420208290986
Alma Rossini,Jeu d'eau,jeu-deau_1969,1969,"ESS-SPA 5, 1970","Rue de l'Argent / Silbergasse 30, 2502 Bienne / Biel",47.134365,7.248316,"Á côté du Palais de Congrès / Neben dem Kongresshaus, rue Centrale / Zentralstrasse 60, 2501 Bienne / Biel",47.13495378548712,7.247954712468487
Zoltán Kemény,Mécanisme de la Conception,mecanisme-de-la-conception_1964,1964,"ESS-SPA 4, 1966","Dans le Palais des Congrès / Im Kongresshaus, rue Centrale / Zentralstrasse 60, 2501 Bienne / Biel",47.134964416889126,7.247968656952202,"Dans le Palais des Congrès / Im Kongresshaus, rue Centrale / Zentralstrasse 60, 2502 Bienne / Biel",47.134964416889126,7.247968656952202
Bernhard Luginbühl,Rex,rex_1965,1965,"ESS-SPA 4, 1966","Istituto Svizzero, Via Ludovisi 48, Rome / Rom, Italie / Italien",41.9063614496824,12.487614629032993,"Devant le Palais de Congrès / Vor dem Kongresshaus, rue Centrale / Zentralstrasse 60, 2501 Bienne / Biel",47.135144,7.248501
Peter Kunz,Findlingskopf,findlingskopf_1975,1975,"ESS-SPA 6, 1975","Embouchure de la Suze sur la Place du Joran / Schüssmündung am Joranplatz, 2502 Bienne / Biel",47.1321309927446,7.23465133995305,"Chemin de Seefels / Seefelsweg, devant / vor Swatch Group, 2502 Bienne / Biel",47.13518,7.236824
Angel Duarte,E 1,e-1_1963,1963–70,"ESS-SPA 5, 1970","Jardin de la groupe Swatch / Gartenanlage der Swatch Group, Faubourg du Lac / Seevorstadt 6, 2502 Bienne / Biel",47.135638,7.236073,"Jardin de la groupe Swatch / Gartenanlage der Swatch Group, Faubourg du Lac / Seevorstadt 6, 2502 Bienne / Biel",47.135638,7.236073
Ueli Berger,PH-PH,ph-ph_1975,1975,"ESS-SPA 6, 1975","Place Robert Walser / Robert-Walser-Platz, 2503 Bienne / Biel",47.131055,7.24141,"Près le funiculaire Macolin / Bei der Magglingenbahn, chemin de Seefels / Seefelsweg, 2502 Bienne / Biel",47.135856,7.235832
Manuel Torres,Enlacé,enlace_1974,1974,"ESS-SPA 6, 1975","Promenade de la Suze / Schüsspromenade, 2502 Bienne / Biel",47.136121,7.240825,"Faubourg du Lac, près du funiculaire Macolin / Seevorstadt, nahe der Magglingenbahn, 2502 Bienne / Biel",47.136293,7.23629
Annemie Fontana,Sunrise,sunrise_1974,1974,"ESS-SPA 6, 1975","Terrain de sport Hardhof / Hardhof Sportplatz, 8064 Zurich / Zürich",47.395754,8.49969,"Faubourg du Lac / Seevorstadt 14, 2502 Bienne / Biel",47.136431,7.236686
Henri Presset,Figure XIIa,figure-xiia_1975,1975,"ESS-SPA 6, 1975","Jetée des Pâquis, 1201 Genève / Genf",46.211405,6.152945,"Promenade de la Suze / Schüsspromenade, 2502 Biel / Bienne",47.136575,7.24089
Corsin Fontana,Bodengravierung,bodengravierung_1986,1986,"ESS-SPA 8, 1986","Promenade de la Suze / Schüsspromenade, 2502 Bienne / Biel",47.136607,7.240929,"Promenade de la Suze / Schüsspromenade, 2502 Bienne / Biel",47.136607,7.240929
Henri Presset,Figure Xa,figure-xa_1975,1975,"ESS-SPA 6, 1975","ETH Hönggerberg, Bâtiment / Gebäude HPP, 8049 Zurich / Zürich",47.407938,8.510396,"Promenade de la Suze / Schüsspromenade, 2502 Bienne / Biel",47.136784,7.240973
André Ramseyer,Consolation,consolation_1954,1954,"ESS-SPA 1, 1954","Parc de la ville / Stadtpark, 2502 Bienne / Biel",47.141608,7.255487,"Place Centrale / Zentralplatz, 2502 Bienne / Biel",47.136919,7.246655
Walter Kretz,Betonstelen,betonstelen_1974,1974,"ESS-SPA 6, 1975","Parc du château de Schadau / Park Schloss Schadau, Seestrasse 45, 3600 Thoun / Thun",46.746255,7.637805,"Promenade de la Suze / Schüsspromenade, 2502 Bienne / Biel",47.137475,7.241219
Hans Arthur Balmer,Die Baumfee und ihre Tänzerin,die-baumfee-und-ihre-taenzerin_1978,1978,"ESS-SPA 7, 1980",3052 Zollikofen,46.99827973020614,7.4511334689635085,"Promenade de la Suze / Schüsspromenade, 2502 Bienne / Biel",47.137478,7.24118
Willy Weber,"See, O.K.",see-ok_1977,1977,"ESS-SPA 7, 1980","Terrain des sports universitaires de Berne / Gelände Universitätssport Bern, Neubrückstrasse 155, 3012 Berne / Bern",46.96238,7.432261,"Faubourg du Lac / Seevorstadt, 2502 Bienne / Biel",47.137587,7.238931
"Berner Arbeitsgemeinschaft (Eggenschwiler, Vetter, Wälti, Kunz)",Moorgarten aus Baumelementen,moorgarten-aus-baumelementen_1975,1975,"ESS-SPA 6, 1975","APP Bienne-Seeland / BVS Biel Seeland, chemin de la Ciblerie / Scheibenweg 45, 2503 Bienne / Biel",47.137768,7.26815,"APP Bienne-Seeland / BVS Biel Seeland, chemin de la Ciblerie / Scheibenweg 45, 2503 Bienne / Biel",47.137768,7.26815
Willy Wimpfheimer,Figur VII,figur-vii_1986,1986,"ESS-SPA 8, 1986","Parc des sculptures Ennetbürgen / SPE Skulpturenpark, Ennetbürgerstrasse, 6370 Stans",46.966655,8.383887,"Centre-ville de Bienne / Bieler Innenstadt, rue du Nidau / Nidaugasse 62, 2502 Bienne / Biel",47.137912,7.2467
"Berner Arbeitsgemeinschaft (Eggenschwiler, Vetter, Wälti, Kunz)",Beton-Messingkubus,beton-messingkubus_1975,1975,"ESS-SPA 6, 1975","APP Bienne-Seeland / BVS Biel Seeland, chemin de la Ciblerie / Scheibenweg 45, 2503 Bienne / Biel",47.138058,7.267674,"APP Bienne-Seeland / BVS Biel Seeland, chemin de la Ciblerie / Scheibenweg 45, 2503 Bienne / Biel",47.138058,7.267674
"Berner Arbeitsgemeinschaft (Eggenschwiler, Vetter, Wälti, Kunz)",Farbige Baumruine,farbige-baumruine_1975,1975,"ESS-SPA 6, 1975","APP Bienne-Seeland / BVS Biel Seeland, chemin de la Ciblerie / Scheibenweg 45, 2503 Bienne / Biel",47.1381336623771,7.26792222262247,"APP Bienne-Seeland / BVS Biel Seeland, Chemin de la Ciblerie / Scheibenweg 45, 2503 Bienne / Biel",47.1381336623771,7.26792222262247
"Berner Arbeitsgemeinschaft (Eggenschwiler, Vetter, Wälti, Kunz)",Drei Gerüstkuben,drei-geruestkuben_1975,1975,"ESS-SPA 6, 1975","APP Bienne-Seeland / BVS Biel Seeland, chemin de la Ciblerie / Scheibenweg 45, 2503 Bienne / Biel",47.138195,7.267571,"APP Bienne-Seeland / BVS Biel Seeland, chemin de la Ciblerie / Scheibenweg 45, 2503 Bienne / Biel",47.138195,7.267571
Kurt Sigrist,Zwei Einsiedeleien,zwei-einsiedeleien_1986,1986,"ESS-SPA 8, 1986","Parcours culturel / Kulturweg Limmat, place de grill Kurt Sigrist / Grillplatz Kurt Sigrist, Webermühle 18, 5432 Neuenhof",47.459711286453754,8.310642412202194,"Rue de Flore / Florastrasse, 2502 Bienne / Biel",47.138405,7.247154
Peter Travaglini,Haken-Cat,haken-cat_1974,1974,"ESS-SPA 6, 1975","Aula dans le bâtiment scolaire IV / Aula im Schulhaus IV, Schulstrasse 35, 2540 Grenchen",47.19279582017559,7.391080971195628,"Faubourg du Lac / Seevorstadt (vis-à-vis Centre d'Art / Kunsthaus PasquArt), 2502 Bienne / Biel",47.138508,7.24063
René Küng,Grosse Mondleiter,grosse-mondleiter_1979,1979–80,"ESS-SPA 7, 1980","Parvis du théâtre de Bâle / Vorplatz des Theater Basel, Theaterstrasse 7, 4051 Bâle / Basel",47.55327,7.590159,"Faubourg du Lac / Seevorstadt, près du Musée Schwab / beim Museum Schwab, 2502 Bienne / Biel",47.138741,7.241091
Schang Hutter,Vertschaupet,vertschaupet_1980,1980,"ESS-SPA 7, 1980","Place de la Gare / Bahnhofsplatz, 2502 Bienne / Biel",47.13329,7.243196,"Devant le NMB Nouveau Musée Bienne / Vor dem NMB Neues Museum Biel, Faubourg du Lac / Seevorstadt 52, 2501 Bienne / Biel",47.139111,7.242028
Bernhard Luginbühl,Grosser Boss,grosser-boss_1972,1972–75,"ESS-SPA 6, 1975","Parc des sculptures Fondation Bernhard Luginbühl / Skulpturenpark Bernhard Luginbühl Stiftung, 3324 Mötschwil",47.049269,7.56699,"Á l'angle de la Promenade de la Suze et du Faubourg du Lac / Ecke Schüsspromenade zu Seevorstadt, 2502 Bienne / Biel",47.13913,7.241804
Carl Bucher,Baalbek,baalbek_1977,1977,"ESS-SPA 7, 1980","Devant la mairie / Vor dem Rathaus, Eduard-Weitsch-Weg, 45768 Marl, Allemagne / Deutschland",51.656572,7.09437,"Angle Faubourg du Lac et Promenade de la Suze / Ecke Seevorstadt und Schüsspromenade, 2502 Bienne / Biel",47.139242,7.241791
Matias Spescha,Luftkubus,luftkubus_1986,1986,"ESS-SPA 8, 1986","Parc des sculptures Ennetbürgen / SPE Skulpturenpark, Scheidgrabenweg, 6374 Buochs",46.98027,8.410913,"École Dufour / Dufour-Schulhaus, rue Général-Dufour / General-Dufour-Strasse 18, 2502 Bienne / Biel",47.139572,7.248111
Santiago Calatrava,Säulen,saeulen_1986,1986,"ESS-SPA 8, 1986","Gare de Stadelhofen / Bahnhof Stadelhofen, 8001 Zurich / Zürich",47.36671,8.548545,"Rue de l'Union / Unionsgasse, 2501 Bienne / Biel",47.139614,7.244347
Emile Angeloz,Élement en 3 pièces,element-en-3-pieces_1978,1978,"ESS-SPA 7, 1980","Jardin du Musée d'art et d'histoire / Garten des Museums für Kunst und Geschichte, rue de Morat 12, 1700 Fribourg / Freiburg",46.807634,7.159806,"Faubourg du Lac / Seevorstadt, 2502 Bienne / Biel",47.139704,7.242923
Franz Pösinger,SOG,sog_1980,1980,"ESS-SPA 8, 1986",détruit / zerstört 2021,47.1397673192808,7.2482557296098,"École Dufour / Dufour-Schulhaus, rue Général-Dufour / General-Dufour-Strasse 18, 2502 Bienne / Biel",47.1397673192808,7.2482557296098
Giuliano Pedretti,Nostalgie (Kuh),nostalgie-kuh_1974,1974,"ESS-SPA 6, 1975","Près la station RER / Bei der S-Bahn-Station, 4125 Riehen",47.582795,7.652089,"Pont-du-Moulin / Mühlebrücke 5, Bienne / Biel",47.140233,7.243944
Gianfredo Camesi,Dimension unique,dimension-unique_1975,1975,"ESS-SPA 6, 1975","Terrasse de l'église / Kirchterrasse, rue Basse / Untergasse 17, 2502 Bienne / Biel",47.141138,7.24646,"Terrasse de l'eglise / Kirchterrasse, rue Basse / Untergasse 17, 2502 Bienne / Biel",47.141138,7.24646
Oskar Wiggli,Eisenplastik III (66C),eisenplastik-iii-66c_1974,1974–75,"ESS-SPA 6, 1975","Grand Rue 2, 2520 La Neuveville",47.06327597689737,7.091657278270743,"Terrasse de l'eglise / Kirchterrasse, rue Basse / Untergasse 17, 2502 Bienne / Biel",47.14121,7.246641
Rudolf Blättler,Mann und Weib,mann-und-weib_1995,1995,ESS-SPA 1997,"Kehrsiten village au Bürgenstock / Kehrsiten Dorf am Bürgenstock, 6365 Stansstad",46.999999,8.366996,"Escalier sur la place de l'église [prévu] / Treppe am Kirchplatz [geplant], 2502 Bienne / Biel",47.141411,7.24687
Erwin Rehmann,Maternité,maternite_1950,1950,"ESS-SPA 1, 1954","Collège des Prés-Ritter / Schulhaus Rittermatte, rue Franche / Freiestrasse 45, 2502 Bienne / Biel",47.142788,7.252527,"Collège des Prés-Ritter / Schulhaus Rittermatte, rue Franche / Freiestrasse 45, 2502 Bienne / Biel",47.142788,7.252527
Hermann Hubacher,Sich kämmendes Mädchen,sich-kaemmendes-maedchen_1955,1955,"ESS-SPA 2, 1958","Collège des Prés-Ritter / Schulhaus Rittermatte, rue Franche / Freiestrasse 45, 2502 Bienne / Biel",47.143119,7.252224,"Collège des Prés-Ritter / Schulhaus Rittermatte, rue Franche / Freiestrasse 45, 2502 Bienne / Biel",47.143119,7.252224
Arnold Huggler,Ours,ours_1958,1958,"ESS-SPA 2, 1958","Jardin d'enfants Prés-Ritter / Kindergarten Rittermatte, rue Karl-Stauffer / Karl-Stauffer-Strasse 10, 2502 Bienne / Biel",47.143242,7.253502,"Collège des Prés-Ritter / Schulhaus Rittermatte, rue Franche / Freiestrasse 45, 2502 Bienne / Biel",47.14311,7.252224
Hans Aeschbacher,Figur I,figur-i_1955,1955,"ESS-SPA 2, 1958","Collège des Prés-Ritter / Schulhaus Rittermatte, rue Franche / Freiestrasse 45, 2502 Bienne / Biel",47.143314,7.252216,"Collège des Prés-Ritter / Schulhaus Rittermatte, rue Franche / Freiestrasse 45, 2502 Bienne / Biel",47.143314,7.252216
André Gigon,Grand objet,grand-objet_1958,1958,"ESS-SPA 2, 1958","Bâtiments administratifs / Verwaltungsgebäude, Place Chauderon, Lausanne",46.523411,6.625237,"Collège des Prés-Ritter / Schulhaus Rittermatte, rue Franche / Freiestrasse 45, 2502 Bienne / Biel",47.143529,7.252224
Erich Müller,Einhorn,einhorn_1952,1952,"ESS-SPA 1, 1954","École Tscharnergut / Schule Tscharnergut, Fellerstrasse 18, 3027 Berne / Bern",46.94785690869979,7.391377633718458,"Collège des Prés-Ritter / Schulhaus Rittermatte, rue Franche / Freiestrasse 45, 2502 Bienne / Biel",47.14352,7.252224
Walter Linck,Fontaine,fontaine_1954,1954,"ESS-SPA 1, 1954","École primaire Bethlehemacker / Primarschule Bethlehemacker, Kornweg 101–104, 3027 Berne / Bern",46.94970852365287,7.387500607408399,"Collège des Prés-Ritter / Schulhaus Rittermatte, rue Franche / Freiestrasse 45, 2502 Bienne / Biel",47.143529,7.25222
Walter Linck,Vegetativ III,vegetativ-iii_1958,1958,"ESS-SPA 2, 1958","Chapelle du cimetière de Bremgarten, Berne / Kapelle des Bremgartenfriedhof, Bern",46.95008517823468,7.4238084692777315,"Collège des Prés-Ritter / Schulhaus Rittermatte, rue Franche / Freiestrasse 45, 2502 Bienne / Biel",47.143529,7.252229
Franz Fischer,Redner,redner_1954,1954,"ESS-SPA 1, 1954","Maison Bloesch / Bloeschhaus, Pont-du-Moulin / Mühlebrücke 5, 2502 Bienne / Biel",47.140524926763945,7.24392033019428,"Collège des Prés-Ritter / Schulhaus Rittermatte, rue Franche / Freiestrasse 45, 2502 Bienne / Biel",47.143538,7.252224
"Rehmann, Erwin",Kugelraum mit Strahlenkern,kugelraum-mit-strahlenkern_1958,1958,"ESS-SPA 2, 1958","Hôpital cantonal d'Aarau / Kantonsspital Aarau, Tellstrasse 25, Aarau",47.388638254608914,8.060293222014815,"Collège des Prés-Ritter / Schulhaus Rittermatte, rue Franche / Freiestrasse 45, 2502 Bienne / Biel",47.143522,7.252228
Robert Lienhard,Cerf volant,cerf-volant_1957,1957,"ESS-SPA 2, 1958","École Hohfurri / Schulhaus Hohfurri, 8408 Winterthour / Winterthur",47.50833206713659,8.696634510606529,"Collège des Prés-Ritter / Schulhaus Rittermatte, rue Franche / Freiestrasse 45, 2502 Bienne / Biel",47.143533,7.252236
Albert Schilling,Demeter Erinys,demeter-erinys_1954,1954,"ESS-SPA 1, 1954","Trotte Arlesheim, entrée du jardin de paysan et de l'ancien cimetière / Eingang zum Bauerngarten und Alten Friedhof, 4144 Arlesheim",47.49395,7.622284,"Collège des Prés-Ritter / Schulhaus Rittermatte, rue Franche / Freiestrasse 45, 2502 Bienne / Biel",47.143573768298296,7.252431832438827
Heinz Fiorese,Ballspieler,ballspieler_1954,1954,"ESS-SPA 1, 1954","Parc Dreirosen / Dreirosenanlage, 4057 Bâle / Basel",47.570396,7.589514,"Collège des Prés-Ritter / Schulhaus Rittermatte, rue Franche / Freiestrasse 45, 2502 Bienne / Biel",47.143533,7.252236
Paul Bianchi,Guépard II,guepard-ii_1954,1954,"ESS-SPA 1, 1954","Parc Malagnou / Park Malagnou, 1208 Genève / Genf",46.19895885480339,6.158503808679145,"Collège des Prés-Ritter / Schulhaus Rittermatte, rue Franche / Freiestrasse 45, 2502 Bienne / Biel",47.143533,7.252236
Ödön Koch,Figur I,figur-i_1957,1957,"ESS-SPA 2, 1958","Musée Kröller-Müller / Kröller-Müller Museum, Parc des sculptures / Skulpturenpark, Houtkampweg 6, 6731 AW Otterlo, Pays Bas / Niederlande",52.095918,5.816587,"Collège des Prés-Ritter / Schulhaus Rittermatte, rue Franche / Freiestrasse 45, 2502 Bienne / Biel",47.143533,7.252236
Walter Bodmer,Eisenplastik,eisenplastik_1954,1954,"ESS-SPA 1, 1954","Ecole des Tilleuls / Schulhaus Linde, chemin des Cordiers / Seilerweg 64, 2503 Bienne / Biel",47.138154,7.264749,"Collège des Prés-Ritter / Schulhaus Rittermatte, rue Franche / Freiestrasse 45, 2502 Bienne / Biel",47.143533,7.252236
André Ramseyer,La Vague,la-vague_1957,1957–58,"ESS-SPA 2, 1958","École des Tilleuls / Schulhaus Linde, chemin des Cordiers / Seilerweg 64, 2503 Bienne / Biel",47.138201,7.265467,"Collège des Prés-Ritter / Schulhaus Rittermatte, rue Franche / Freiestrasse 45, 2502 Bienne / Biel",47.143533,7.252236
